species_normalized,scientific_name_gbif,species_key,accepted_taxon_key,latitude,longitude,distance_km,dataset_key,dataset_name,publisher,gbif_id
erigeron bonariensis,Erigeron bonariensis,3146717.0,3146717,18.481915,73.810608,6.475760420534803,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235921611
chromolaena odorata,Chromolaena odorata,3087725.0,3087725,18.593298,73.80072,10.026375073550971,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235936324
ficus religiosa,Ficus religiosa,5361935.0,5361935,18.589754,73.797112,9.946307823365373,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235939860
ficus religiosa,Ficus religiosa,5361935.0,5361935,18.530241,73.847912,1.4338479034908556,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235958974
ficus racemosa,Ficus racemosa,5361904.0,5361904,18.530988,73.82876,3.1723579962513644,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235973814
euphorbia hirta,Euphorbia hirta,3068937.0,3068937,18.623705,73.76873,14.762428594685346,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235979642
ficus religiosa,Ficus religiosa,5361935.0,5361935,18.60029,73.716383,17.253683116162993,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235982524
magnolia champaca,Magnolia champaca,3153099.0,3153099,18.546878,73.82035,4.832710127373901,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235983709
delonix regia,Delonix regia,2956176.0,2956176,18.450442,73.789618,10.514689961075478,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235988607
peltophorum pterocarpum,Peltophorum pterocarpum,2952775.0,2952775,18.530455,73.848133,1.43733342675811,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235988854
butea monosperma,Butea monosperma,8234570.0,8234570,18.549075,73.830103,4.246101799098087,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235992357
annona squamosa,Annona squamosa,5407099.0,5407099,18.535595,73.837956,2.6000365901430387,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6236001345
plumeria obtusa,Plumeria obtusa,3169677.0,3169677,18.598439,73.718764,16.932683537959313,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6236016937
