row_id,country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,species_full,genus,species,family,survival_per,lat_dec,lon_dec,w_meanWD,treatment,planting_density_missing,target_horizon_months,split_group_id,split_set
51,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,64.0,-3.7,115.15,0.405,1,0,24.0,AG1998,train
52,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,62.5,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
53,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,57.5,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
54,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,45.0,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
55,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,35.0,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
56,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,70.0,-3.7,115.15,0.44,1,0,24.0,AGJ1995,train
57,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,85.0,-3.7,115.15,0.44,1,0,24.0,AGJ1995,train
58,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,75.0,-3.7,115.15,0.44,1,0,24.0,AGJ1995,train
59,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,77.5,-3.7,115.15,0.44,1,0,24.0,AGJ1995,train
60,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,40.0,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
61,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,77.5,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
62,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,50.0,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
63,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,72.5,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
64,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,52.5,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
65,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,52.5,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
66,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,62.5,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
67,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,40.0,-3.7,115.15,0.44,1,0,24.0,AGJ1995,train
68,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,47.5,-3.7,115.15,0.44,1,0,24.0,AGJ1995,train
69,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,60.0,-3.7,115.15,0.44,1,0,24.0,AGJ1995,train
70,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,45.0,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
71,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,55.0,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
72,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,57.5,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
73,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,3.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,60.0,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
74,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,57.5,-3.7,115.15,0.393333333,1,0,24.0,AGJ1995,train
75,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,70.0,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
76,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,37.5,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
77,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,60.0,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
78,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,2.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,62.5,-3.7,115.15,0.405,1,0,24.0,AGJ1995,train
79,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,72.60494138,-3.7,115.15,0.393333333,1,1,12.0,AGJ1996,train
80,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,56.44092189,-3.7,115.15,0.393333333,1,1,24.0,AGJ1996,train
81,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea johorensis,Shorea,johorensis,Dipterocarpaceae,56.23345519,-3.7,115.15,0.393333333,1,1,36.0,AGJ1996,train
82,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea ovalis,Shorea,ovalis,Dipterocarpaceae,72.35414303,-3.7,115.15,0.43,1,1,12.0,AGJ1996,train
83,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea ovalis,Shorea,ovalis,Dipterocarpaceae,41.71735157,-3.7,115.15,0.43,1,1,24.0,AGJ1996,train
84,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea ovalis,Shorea,ovalis,Dipterocarpaceae,40.26377159,-3.7,115.15,0.43,1,1,36.0,AGJ1996,train
85,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,77.84150595,-3.7,115.15,0.44,1,1,12.0,AGJ1996,train
86,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,66.4124543,-3.7,115.15,0.44,1,1,24.0,AGJ1996,train
87,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea leprosula,Shorea,leprosula,Dipterocarpaceae,65.96206773,-3.7,115.15,0.44,1,1,36.0,AGJ1996,train
88,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,72.8583659,-3.7,115.15,0.405,1,1,12.0,AGJ1996,train
89,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,57.18149922,-3.7,115.15,0.405,1,1,24.0,AGJ1996,train
90,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,46.99987394,-3.7,115.15,0.405,1,1,36.0,AGJ1996,train
91,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea faguetiana,Shorea,faguetiana,Dipterocarpaceae,65.87015211,-3.7,115.15,0.48,1,1,12.0,AGJ1996,train
92,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea faguetiana,Shorea,faguetiana,Dipterocarpaceae,54.93481869,-3.7,115.15,0.48,1,1,24.0,AGJ1996,train
93,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea faguetiana,Shorea,faguetiana,Dipterocarpaceae,54.73916971,-3.7,115.15,0.48,1,1,36.0,AGJ1996,train
94,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea fallax,Shorea,fallax,Dipterocarpaceae,67.11757847,-3.7,115.15,0.5,1,1,12.0,AGJ1996,train
95,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea fallax,Shorea,fallax,Dipterocarpaceae,66.64880877,-3.7,115.15,0.5,1,1,24.0,AGJ1996,train
96,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea fallax,Shorea,fallax,Dipterocarpaceae,66.21286609,-3.7,115.15,0.5,1,1,36.0,AGJ1996,train
97,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea polyandra,Shorea,polyandra,Dipterocarpaceae,31.93358965,-3.7,115.15,0.583246313,1,1,12.0,AGJ1996,train
98,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea polyandra,Shorea,polyandra,Dipterocarpaceae,22.25224799,-3.7,115.15,0.583246313,1,1,24.0,AGJ1996,train
99,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Shorea polyandra,Shorea,polyandra,Dipterocarpaceae,22.30477121,-3.7,115.15,0.583246313,1,1,36.0,AGJ1996,train
100,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Hopea sangal,Hopea,sangal,Dipterocarpaceae,86.57349048,-3.7,115.15,0.714693989,1,1,12.0,AGJ1996,train
101,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Hopea sangal,Hopea,sangal,Dipterocarpaceae,76.89477499,-3.7,115.15,0.714693989,1,1,24.0,AGJ1996,train
102,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Hopea sangal,Hopea,sangal,Dipterocarpaceae,76.93941972,-3.7,115.15,0.714693989,1,1,36.0,AGJ1996,train
103,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Dipterocarpus cornutus,Dipterocarpus,cornutus,Dipterocarpaceae,14.97384344,-3.7,115.15,0.676666667,1,1,12.0,AGJ1996,train
104,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Dipterocarpus cornutus,Dipterocarpus,cornutus,Dipterocarpaceae,4.79090508,-3.7,115.15,0.676666667,1,1,24.0,AGJ1996,train
