country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,age_0,height_0,species_full,genus,species,family,lat_dec,lon_dec,duration_months,w_meanWD,w_sdWD,w_levelWD,w_nInd,sample_assumption,sample_weight,site_sp,treatment,yr_cat,survival_per
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,8.0,0.72,0.070823262,,1,,50.0,,0,1.0,26.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,4.0,0.72,0.070823262,,1,,50.0,,0,9999.0,54.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,8.0,0.72,0.070823262,,1,,50.0,,1,1.0,16.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,4.0,0.72,0.070823262,,1,,50.0,,1,9999.0,46.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,8.0,0.72,0.070823262,,1,,50.0,,1,1.0,26.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,4.0,0.72,0.070823262,,1,,50.0,,1,9999.0,46.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,8.0,0.72,0.070823262,,1,,20.0,,1,1.0,25.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,4.0,0.72,0.070823262,,1,,20.0,,1,9999.0,55.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,8.0,0.72,0.070823262,,1,,50.0,,0,1.0,38.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,4.0,0.72,0.070823262,,1,,50.0,,0,9999.0,68.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,50.0,,1,1.0,14.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,50.0,,1,9999.0,26.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,50.0,,1,1.0,38.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,50.0,,1,9999.0,42.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,10.0,,1,1.0,25.0
